Item_ID,CANS_6_21_ID,CANS_0_5_ID,Item_Name ,Item_Abbr,Description,Rate_0,Rate_1,Rate_2,Rate_3,Rate_No,Rate_Yes,Rate_NA,Confidential_by_Default,Questions,Supplemental,0-5,6-21,Need,Strength,Background_Needs,Outcome_Malleable,Danger_Self,Danger_Others
27,27,,Delinquent Behavior,DELINQUENT_BEHAVIOR,"This rating includes both criminal behavior and status offenses that may result from youth failing to follow required behavioral standards (e.g., truancy, curfew violations, driving without a license). Sexual offenses should be included as criminal behavior. If caught, the youth could be arrested for this behavior.",No evidence of any needs. No evidence or no history of delinquent behavior.,"Need that requires monitoring, watchful waiting, or preventive action. This may have been a risk behavior in the past. History or suspicion of delinquent behavior, but none in the recent past. Status offenses would generally be rated here. ","Action or intervention is required to ensure that the identified need is addressed. Currently engaged in delinquent behavior (e.g., vandalism, shoplifting, etc.) that puts the youth at risk. ","Intensive and/or immediate action is required to address the need or risk behavior. Serious recent acts of delinquent activity that place others at risk of significant loss or injury, or place the youth at risk of adult sanctions. Examples include car theft, residential burglary and gang involvement. ",,,,,"• Do you know of laws that the youth has broken (even if the youth has not been charged or caught)?
• Has the youth ever been arrested?
",,,1,1,,,1,1,1
28,28,,Intentional Misbehavior,INTENTIONAL_MISBEHAVIOR,"This rating describes intentional behaviors that a child/youth engages in to force others to administer consequences. This item should reflect problematic social behaviors (socially unacceptable behavior for the culture and community in which the child/youth lives) that put the child/youth at some risk of consequences. It is not necessary that the child/youth be able to articulate that the purpose of his/her misbehavior is to provide reactions/consequences to rate this item. There is always, however, a benefit to the child/youth resulting from this unacceptable behavior even if it does not appear this way on the face of it (e.g., child/youth feels more protected, more in control, less anxious because of the sanctions). This item should not be rated for child/youth who engage in such behavior solely due to developmental delays.",No evidence of any needs. Child/youth shows no evidence of problematic social behaviors that cause adults to administer consequences. ,"Need that requires monitoring, watchful waiting, or preventive action. This may have been a risk behavior in the past. Some problematic social behaviors that force adults to administer consequences to the youth. Provocative comments or behavior in social settings aimed at getting a negative response from adults might be included at this level. ","Action or intervention is required to ensure that the identified need is addressed. Youth may be intentionally getting in trouble in school or at home and the consequences, or threat of consequences is causing problems in the youth's life. ","Intensive and/or immediate action is required to address the need or risk behavior. Frequent seriously inappropriate social behaviors force adults to seriously and/or repeatedly administer consequences to the youth. The inappropriate social behaviors may cause harm to others and/or place the youth at risk of significant consequences (e.g. expulsion from school, removal from the community). ",,,,,"• Does the youth intentionally do or say things to upset others or get in trouble with people in positions of authority or (e.g., parents or teachers)?
• Has the youth engaged in behavior that was insulting, rude or obnoxious and which resulted in sanctions for the youth such as suspension, job dismissal, etc.?
",,,1,1,,,1,,
29,29,EC22,Language,LANGUAGE,"This item looks at whether the child/youth and family need help with communication to obtain the necessary resources, supports and accommodations (e.g., interpreter). This item includes spoken, written, and sign language, as well as issues of literacy.",No current need; no need for action or intervention. No evidence that there is a need or preference for an interpreter and/or the child/youth and family speak and read the primary language where the youth or family lives. ,"Identified need requires monitoring, watchful waiting, or preventive activities. Child/youth and/or family speak or read the primary language where the child/youth or family lives, but potential communication problems exist because of limited vocabulary or comprehension of the nuances of the language. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Child/youth and/or significant family members do not speak the primary language where the youth or family lives. Translator or family's native language speaker is needed for successful intervention; a qualified individual(s) can be identified within natural supports. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Child/youth and/or significant family members do not speak the primary language where the youth or family lives. Translator or family's native language speaker is needed for successful intervention; no such individual is available from among natural supports. ,,,,,"• What language does the family speak at home? 
• Is there a child/youth interpreting for the family in situations that may compromise the child/youth or family's care?
• Does the child/youth or significant family members have any special needs related to communication (e.g., ESL, ASL, Braille, or assisted technology)?
",,1,1,1,,,1,,
30,30,EC23,Traditions and Rituals,TRADITIONS_RITUALS,"This item rates the child/youth and family's access to and participation in cultural tradition, rituals and practices, including the celebration of culturally specific holidays such as Kwanza, Dia de los Muertos, Yom Kippur, Quinceanera, etc. This also may include daily activities that are culturally specific (e.g., wearing a hijab, praying toward Mecca at specific times, eating a specific diet, access to media), and traditions and activities to include newer cultural identities.",No current need; no need for action or intervention. Child/youth and/or family are consistently practice their chosen traditions and rituals consistent with their cultural identity. ,"Identified need requires monitoring, watchful waiting, or preventive activities. Child/youth and/or family are generally practice their chosen traditions and rituals consistent with their cultural identity; however, they sometimes experience some obstacles to the performance of these practices. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Child/youth and/or family experience significant barriers and are sometimes prevented from practicing their chosen traditions and rituals consistent with their cultural identity. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Child/youth and/or family are unable to practice their chosen traditions and rituals consistent with their cultural identity. ,,,,,"• What holidays does the child/youth celebrate?
• What traditions are important to the child/youth?
• Does the child/youth fear discrimination for practicing their traditions and rituals?
",,1,1,1,,,1,,
31,31,EC24,Cultural Stress,CULTURAL_STRESS,"This item identifies circumstances in which the child/youth's cultural identity is met with hostility or other problems within the child/youth's environment due to differences in attitudes, behavior, or beliefs of others (this includes cultural differences that are causing stress between the youth and the child/youth's family). Racism, negativity toward SOGIE and other forms of discrimination would be rated here.",No current need; no need for action or intervention. No evidence of stress between the child/youth's cultural identity and current living situation. ,"Identified need requires monitoring, watchful waiting, or preventive activities. Some occasional stress resulting from friction between the child/youth's cultural identity and current living situation. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Child/youth is experiencing cultural stress that is causing problems of functioning in at least one life domain. Child/youth needs support to learn how to manage culture stress. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Child/youth is experiencing a high level of cultural stress that is making functioning in any life domain difficult under the present circumstances. Child/youth needs immediate plan to reduce culture stress. ,,,,,"• What does the family believe is their reality of discrimination? How do they describe discrimination or oppression? 
• Does this impact their functioning as both individuals and as a family?
• How does the caregiver support the child/youth's identity and experiences if different from their own?
",,1,1,1,,,1,,
32,32,EC25,Family Strengths,FAMILY_STRENGTHS,"This item refers to the presence of a sense of family identity as well as love and communication among family members. Even families who are struggling often have a firm foundation that consists of a positive sense of family and strong underlying love and commitment to each other. These are the constructs this strength is intended to identify. As with Family Functioning, the definition of family comes from the child/youth's perspective (i.e., who the child/youth describes as their family). If this information is not known, then we recommend a definition of family that includes biological/adoptive relatives and their significant others with whom the child/youth is still in contact.",Well-developed or centerpiece strength; may be used as a protective factor and a centerpiece of a strength-based plan. Family has strong relationships and significant family strengths. This level indicates a family with much love and respect for one another. There is at least one family member who has a strong loving relationship with the youth and is able to provide significant emotional or concrete support. Child/youth is fully included in family activities. ,"Useful strength is evident but requires some effort to maximize the strength. Strength might be used and built upon in treatment. Family has some good relationships and good communication. Family members are able to enjoy each other's company. There is at least one family member who has a strong, loving relationship with the child/youth and is able to provide limited emotional or concrete support. ","Strengths have been identified but require significant strength building efforts before they can be effectively utilized as part of a plan. Family needs some assistance in developing relationships and/or communications. Family members are known, but currently none are able to provide emotional or concrete support. ","An area in which no current strength is identified; efforts are needed to identify potential strengths. Family needs significant assistance in developing relationships and communications, or child/youth has no identified family. Child/youth is not included in normal family activities. ",,,,,"• Does the child/youth have good relationships with any family member?
• Is there potential to develop positive family relationships?
• Is there a family member that the child/youth can go to in time of need for support? That can advocate for the child/youth?
• How does your child/youth get along with siblings or other children in the household?
• How does your child/youth get along with caregivers or other adults in the household?
• Is your child/youth particularly close to one or more members of the family?
",,1,1,,1,,1,,
33,33,EC26,Interpersonal,INTERPERSONAL,This item is used to identify a child/youth's social and relationship skills. Interpersonal skills are rated independently of Social Functioning because a child/youth can have social skills but still struggle in their relationships at a particular point in time. This strength indicates an ability to make and maintain long-standing relationships.,Well-developed or centerpiece strength; may be used as a protective factor and a centerpiece of a strength-based plan. Significant interpersonal strengths. Child/youth has well-developed interpersonal skills and healthy friendships. ,Useful strength is evident but requires some effort to maximize the strength. Strength might be used and built upon in treatment. Child/youth has good interpersonal skills and has shown the ability to develop healthy friendships. ,Strengths have been identified but require significant strength building efforts before they can be effectively utilized as part of a plan. Child/youth requires strength building to learn to develop good interpersonal skills and/or healthy friendships. Child/youth has some social skills that facilitate positive relationships with peers and adults but may not have any current healthy friendships. ,An area in which no current strength is identified; efforts are needed to identify potential strengths. There is no evidence of observable interpersonal skills or healthy friendships at this time and/or child/youth requires significant help to learn to develop interpersonal skills and healthy friendships. ,,,,,"• Does the child/youth have the trait ability to make friends?
• Does the child/youth have skills to maintain relationships?
• How does your child interact with other children and adults?
• How does your child do in social settings?
• How does your child interact with other children and adults?
• How does your child do in social settings?
","For children birth to 5 years old, consider the following:
• Action level '0': Child has a prosocial or ""easy"" temperament and, if old enough, is interested and effective at initiating relationships with other children or adults. If still an infant, child exhibits anticipatory behavior when fed or held.
• Action level '1': Child has formed a positive interpersonal relationship with at least one non-caregiver. Child responds positively to social initiations by adults but may not initiate such interactions by themselves.
• Action level '2': Child may be shy or uninterested in forming relationships with others, or - if still an infant-child may have a temperament that makes attachment to others a challenge.
• Action level '3': Child with no known interpersonal strengths. Child does not exhibit any age-appropriate social gestures (e.g. Social smile, cooperative play, responsiveness to social initiations by non-caregivers). An infant that consistently exhibits gaze aversion would be rated here.
",1,1,,1,,1,,
34,34,,Educational Setting,EDUCATIONAL_SETTING,"This item is used to evaluate the nature of the school's relationship with the youth and family, as well as, the level of support the youth receives from the school. Rate according to how much the school is an effective partner in promoting youth's functioning and addressing youth's needs in school.",Well-developed or centerpiece strength; may be used as a protective factor and a centerpiece of a strength-based plan. The school works closely with the child/youth and family to identify and successfully address the youth's educational needs; OR the child/youth excels in school. ,Useful strength is evident but requires some effort to maximize the strength. Strength might be used and built upon in treatment. School works with the child/youth and family to address their educational needs; OR the child/youth likes school. ,Strengths have been identified but require significant strength building efforts before they can be effectively utilized as part of a plan. The school is currently unable to adequately address the child/youth's academic or behavioral needs. ,An area in which no current strength is identified; efforts are needed to identify potential strengths. There is no evidence of the school working to identify or successfully address the youth's needs at this time and/or the school is unable and/or unwilling to work to identify and address the youth's needs and/or there is no school to partner with at this time. ,,,1,,"• Is the school an active partner in the child/youth's education?
• Does the child/youth like school?
• Has there been at least one year in which the child/youth did well in school?
• When has the child/youth been at their best in school?
",,,1,,1,,1,,
35,35,,Talents and Interests,TALENTS_INTERESTS,"This item refers to hobbies, skills, artistic interests, and talents that are positive ways that young people can spend their time, and also give them pleasure and a positive sense of self.",Well-developed or centerpiece strength; may be used as a protective factor and a centerpiece of a strength-based plan. Child/youth has a talent that provides pleasure and/or self-esteem. Child/youth with significant creative/artistic/athletic strengths would be rated here. ,"Useful strength is evident but requires some effort to maximize the strength. Strength might be used and built upon in treatment. Child/youth has a talent, interest, or hobby that has the potential to provide pleasure and self-esteem. This level indicates a child/youth with a notable talent. For example, a child/youth who is involved in athletics or plays a musical instrument would be rated here. ","Strengths have been identified but require significant strength building efforts before they can be effectively utilized as part of a plan. Child/youth has expressed interest in developing a specific talent, interest or hobby even if that talent has not been developed to date, or whether it would provide with any benefit. ","An area in which no current strength is identified; efforts are needed to identify potential strengths. There is no evidence of identified talents, interests or hobbies at this time and/or child/youth requires significant assistance to identify and develop talents and interests. ",,,,,"• What does the child/youth do with free time?
• What does the child/youth enjoy doing?
• Is the child/youth engaged in any pro-social activities?
• What are the things that the child/youth does particularly well?
",,,1,,1,,1,,
36,36,,Spiritual/Religious,SPIRITUAL_RELIGIOUS,"This item refers to the child/youth's experience of receiving comfort and support from religious or spiritual involvement. This item rates the presence of beliefs that could be useful to the child/youth; however, an absence of spiritual/religious beliefs does not represent a need for the family.","Well-developed or centerpiece strength; may be used as a protective factor and a centerpiece of a strength-based plan. Child/youth is involved in and receives comfort and support from spiritual and/or religious beliefs, practices and/or community. Child/youth may be very involved in a religious community or may have strongly held spiritual or religious beliefs that can sustain or comfort the child/youth in difficult times. ","Useful strength is evident but requires some effort to maximize the strength. Strength might be used and built upon in treatment. Child/youth is involved in and receives some comfort and/or support from spiritual and/or religious beliefs, practices and/or community. ",Strengths have been identified but require significant strength building efforts before they can be effectively utilized as part of a plan. Child/youth has expressed some interest in spiritual or religious belief and practices. ,"An area in which no current strength is identified; efforts are needed to identify potential strengths. There is no evidence of identified spiritual or religious beliefs, nor does the child/youth show any interest in these pursuits at this time. ",,,,,"• Does the child/youth have spiritual beliefs that provide comfort?
• Is the family involved with any religious community? Is the child/youth involved?
• Is child/youth interested in exploring spirituality?
",,,1,,1,,1,,
37,37,,Cultural Identity,CULTURAL_IDENTITY,"Cultural identify refers to the child/youth's view of self as belonging to a specific cultural group. This cultural group may be defined by a number of factors including race, religion, ethnicity, geography, sexual orientation or gender identity and expression (SOGIE).",Well-developed or centerpiece strength; may be used as a protective factor and a centerpiece of a strength-based plan. The youth has defined a cultural identity and is connected to others who support the youth's cultural identity. ,Useful strength is evident but requires some effort to maximize the strength. Strength might be used and built upon in treatment. The child/youth is developing a cultural identity and is seeking others to support their cultural identity. ,Strengths have been identified but require significant strength building efforts before they can be effectively utilized as part of a plan. The child/youth is searching for a cultural identity and has not connected with others. ,An area in which no current strength is identified; efforts are needed to identify potential strengths. The child/youth does not express a cultural identity. ,,,,,"• Does the child/youth identify with any racial/ ethnic/cultural group? 
• Does the child/youth find this group a source of support? 
",,,1,,1,,1,,
38,38,,Community Life,COMMUNITY_LIFE,"This item reflects the child/youth's connection to people, places or institutions in their community. This connection is measured by the degree to which the child/youth is involved with institutions of that community which might include (but are not limited to) community centers, little league teams, jobs, after-school activities, religious groups, etc. Connections through specific people (e.g., friends and family) could be considered an important community connection, if many people who are important to the child/youth live in the same neighborhood. ","Well-developed or centerpiece strength; may be used as a protective factor and a centerpiece of a strength-based plan. Child/youth is well integrated into his/her community. The child/youth is a member of community organizations and has positive ties to the community. For example, individual may be a member of a community group (e.g. Girl or Boy Scout) for more than one year, may be widely accepted by neighbors, or involved in other community activities, informal networks, etc. ",Useful strength is evident but requires some effort to maximize the strength. Strength might be used and built upon in treatment. Child/youth is somewhat involved with their community. This level can also indicate a child/youth with significant community ties although they may be relatively short term. ,"Strengths have been identified but require significant strength building efforts before they can be effectively utilized as part of a plan. Child/youth has an identified community but has only limited, or unhealthy, ties to that community. ",An area in which no current strength is identified; efforts are needed to identify potential strengths. There is no evidence of an identified community of which child/youth is a member at this time. ,,,,,"• Does the child/youth feel like they are part of a community?
• Are there activities that the child/youth does in the community? Does the child/youth feel like they are part of a community?
• Are there activities that the child/youth does in the community?
",,,1,,1,,1,,
39,39,EC27,Natural Supports,NATURAL_SUPPORTS,This item refers to unpaid helpers in the child/youth's natural environment. These include individuals who provide social support to the target youth and family. All family members and paid caregivers are excluded.,Well-developed or centerpiece strength; may be used as a protective factor and a centerpiece of a strength-based plan. Child/youth has significant natural supports that contribute to helping support their healthy development. ,Useful strength is evident but requires some effort to maximize the strength. Strength might be used and built upon in treatment. Child/youth has identified natural supports that provide some assistance in supporting their healthy development. ,Strengths have been identified but require significant strength building efforts before they can be effectively utilized as part of a plan. Child/youth has some identified natural supports however they are not actively contributing to the child/youth's healthy development. ,An area in which no current strength is identified; efforts are needed to identify potential strengths. Child/youth has no known natural supports (outside of family and paid caregivers). ,,,,,"• Who does the child/youth consider to be a support?
• Does the child/youth have non-family members in their life that are positive influences?
",,,1,,1,,1,,
40,40,EC28,Resiliency,RESILIENCY,This rating refers to the child/youth's ability to recognize their internal strengths and use them in times of stress and in managing daily life. Resilience also refers to the child/youth's ability to bounce back from stressful life events,Well-developed or centerpiece strength; may be used as a protective factor and a centerpiece of a strength-based plan. Child/youth's internal strength in overcoming or the ability to bounce back is a core part of identity and associated with a well-developed and recognizable set of supports and strengths for dealing with challenges. ,"Useful strength is evident but requires some effort to maximize the strength. Strength might be used and built upon in treatment. Child/youth uses internal strengths in overcoming or the ability to bounce back for healthy development, problem solving, or dealing with stressful life events. ","Strengths have been identified but require significant strength building efforts before they can be effectively utilized as part of a plan. Child/youth has limited ability to recognize and use internal strengths in overcoming or the ability to bounce back to effectively to support the youth's healthy development, problem solving or dealing with stressful life events. ",An area in which no current strength is identified; efforts are needed to identify potential strengths. Child/youth is currently unable to identify internal strengths for preventing or overcoming negative life events or outcomes. ,,,,,"• What does the child/youth do well?
• Is the child/youth able to recognize their skills as strengths?
• Is the child/youth able to use their strengths to problem solve and address difficulties or challenges?
• Does child show ability to hang in there even when frustrated by a challenging task?
• Does child routinely require adult support in trying a new skill/activity?
• Can child easily and willingly transition between activities?
• What type of support does the child require to adapt to changes in schedules?
",,1,1,,1,,1,,
41,41,EC34,Supervision,SUPERVISION,"This item rates the caregiver's capacity to provide the level of monitoring and discipline needed by the child/youth. Discipline is defined in the broadest sense, and includes all of the things that parents/caregivers can do to promote positive behavior with their children. ","No current need; no need for action or intervention. This may be a strength of the caregiver. No evidence caregiver needs help or assistance in monitoring or disciplining the child/youth, and/or caregiver has good monitoring and discipline skills. ","Identified need requires monitoring, watchful waiting, or preventive activities. This may be an opportunity for strength building. Caregiver generally provides adequate supervision, but is inconsistent. Caregiver may need occasional help or assistance. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Caregiver supervision and monitoring are very inconsistent and frequently absent. Caregiver needs assistance to improve supervision skills. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Caregiver is unable to monitor or discipline the youth. Caregiver requires immediate and continuing assistance. Child/youth is at risk of harm due to absence of supervision or monitoring. ,,,,,"• How does the caregiver feel about their ability to keep an eye on and discipline the child/youth?
• Does the caregiver need some help with these issues?
",,1,1,1,,,1,,
42,42,EC35,Involvement with Care,INVOLVEMENT_WITH_CARE,This item rates the caregiver's participation in the child/youth's care and ability to advocate for the child/youth. ,"No current need; no need for action or intervention. This may be a strength of the caregiver. No evidence of problems with caregiver involvement in services or interventions, and/or caregiver is able to act as an effective advocate for child/youth. ","Identified need requires monitoring, watchful waiting, or preventive activities. This may be an opportunity for strength building. Caregiver is consistently involved in the planning and/or implementation of services for the child/youth but is not an active advocate on behalf of the youth. Caregiver is open to receiving support, education, and information. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Caregiver is not actively involved in the child/youth's services and/or interventions intended to assist. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Caregiver wishes for child/youth to be removed from their care. ,,,,,"• How involved are the caregivers in services for the child/youth?
• Is the caregiver an advocate for the child/youth?
• Would the caregiver like any help to become more involved?
",,1,1,1,,,1,,
43,43,EC36,Knowledge,KNOWLEDGE,"This item identifies the caregiver's knowledge of the child/youth's strengths and needs, any problems experienced by the child/youth, and his/her ability to understand the rationale for the treatment or management of these problems. ","No current need; no need for action or intervention. This may be a strength of the caregiver. Caregiver is fully knowledgeable about the child/youth's psychological strengths and weaknesses, talents and limitations. ","Identified need requires monitoring, watchful waiting, or preventive activities. This may be an opportunity for strength building. Caregiver, while being generally knowledgeable about the child/youth, has some mild deficits in knowledge or understanding of the child/youth's psychological condition or their talents, skills and assets. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Caregiver does not know or understand the youth well and significant deficits exist in the caregiver's ability to relate to the youth's problems and strengths. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Caregiver has little or no understanding of the child/youth's current condition. Their lack of knowledge about the child/youth's strengths and needs places the child/youth at risk of significant negative outcomes. ,,,,,"• How does the caregiver understand the child/youth's needs? 
• Does the caregiver have the necessary information to meet the child/youth's needs?
","This item is perhaps the one most sensitive to issues of cultural awareness. It is natural to think that what you know, someone else should know, and if they don't then it's a knowledge problem. In order to minimize the cultural issues, it is recommended thinking of this item in terms of whether there is information that can be made available to the caregivers so that they could be more effective in working with their child/youth. Additionally, the caregivers' understanding of the youth's diagnosis and how it manifests in the child/youth's behavior should be considered in rating this item.",1,1,1,,,1,,
44,44,EC37,Social Resources,SOCIAL_RESOURCES,This item rates the social assets (extended family) and resources that the caregiver can bring to bear in addressing the multiple needs of the child/youth and family.,No current need; no need for action or intervention. This may be a strength of the caregiver. Caregiver has significant social and family networks that actively help with caregiving. ,"Identified need requires monitoring, watchful waiting, or preventive activities. This may be an opportunity for strength building. Caregiver has some family or friend or social network that actively helps with caregiving. ","Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Work needs to be done to engage family, friends or social network in helping with caregiving. ",Problems are dangerous or disabling; requires immediate and/or intensive action. Caregiver has no family or social network to help with caregiving. ,,,,,"• Does family have extended family or friends who provide emotional support?
• Can they call on social supports to watch the child/youth occasionally?
",,1,1,1,,,1,,
45,45,EC38,Resident Stability,RESIDENT_STABILITY,This item rates the housing stability of the caregiver(s) and does not include the likelihood that the child or youth will be removed from the household.,No current need; no need for action or intervention. This may be a strength of the caregiver. Caregiver has stable housing with no known risks of instability. ,"Identified need requires monitoring, watchful waiting, or preventive activities. This may be an opportunity for strength building. Caregiver has relatively stable housing but either has moved in the recent past or there are indications of housing problems that might force housing disruption. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Caregiver has moved multiple times in the past year. Housing is unstable. ,"Problems are dangerous or disabling; requires immediate and/or intensive action Family is homeless, or has experienced homelessness in the recent past. ",,,,,"• Is the family's current housing situation stable?
• Are there concerns that they might have to move in the near future?
• Has family lost their housing?
",,1,1,1,,,1,,
46,46,EC39,Medical/Physical,MEDICAL_PHYSICAL_CAREGIVER,This item refers to medical and/or physical problems that the caregiver(s) may be experiencing that prevent or limit his or her ability to provide care for the child/youth. This item does not rate depression or other mental health issues.,No current need; no need for action or intervention. This may be a strength of the caregiver. No evidence of medical or physical health problems. Caregiver is generally healthy. ,"Identified need requires monitoring, watchful waiting, or preventive activities. This may be an opportunity for strength building. There is a history or suspicion of, and/or caregiver is in recovery from medical/physical problems. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Caregiver has medical/physical problems that interfere with the capacity to parent the child/youth. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Caregiver has medical/physical problems that make parenting the child/youth impossible at this time. ,,,,,"• How is the caregiver's health?
• Does the caregiver have any health problems that limit their ability to care for the family?
",,1,1,1,,,1,,
47,47,EC40,Mental Health,MENTAL_HEALTH,This item refers to any serious mental health issues (not including substance abuse) among caregivers that might limit their capacity to provide care for the child/youth.,No current need; no need for action or intervention. This may be a strength of the caregiver. No evidence of caregiver mental health difficulties. ,"Identified need requires monitoring, watchful waiting, or preventive activities. This may be an opportunity for strength building. There is a history or suspicion of mental health difficulties, and/or caregiver is in recovery from mental health difficulties. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Caregiver's mental health difficulties interfere with their capacity to parent. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Caregiver has mental health difficulties that make it impossible to parent the child/youth at this time. ,,,,,"• Do caregivers have any mental health needs (including adjusting to trauma experiences) that make parenting difficult?
• Is the child/youth receiving services?
• Is there any evidence of transgenerational trauma that is impacting the caregiver or the child/youth's ability to give care effectively?
",,1,1,1,,,1,,
48,48,EC41,Substance Use,SUBSTANCE_USE_CAREGIVER,This item rates the impact of any notable substance use by caregivers that might limit their capacity to provide care for the child/youth.,No current need; no need for action or intervention. This may be a strength of the caregiver. No evidence of caregiver substance use issues. ,"Identified need requires monitoring, watchful waiting, or preventive activities. This may be an opportunity for strength building. There is a history of, suspicion or mild use of substances and/or caregiver is in recovery from substance use difficulties where there is no interference in their ability to parent. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Caregiver has some substance abuse difficulties that interfere with their capacity to parent. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Caregiver has substance abuse difficulties that make it impossible to parent the child/youth at this time. ,,,,1,"• Do caregivers have any substance use needs that make parenting difficult?
• Is the caregiver receiving any services for the substance use problems?
",,1,1,1,,,1,1,
49,49,EC42,Developmental,DEVELOPMENTAL,This item describes the presence of limited cognitive capacity or developmental disabilities that challenges the caregiver's ability to provide care for the child/youth.,No current need; no need for action or intervention. This may be a strength of the caregiver. No evidence of caregiver developmental disabilities or challenges. Caregiver has no developmental needs. ,"Identified need requires monitoring, watchful waiting, or preventive activities. This may be an opportunity for strength building. Caregiver has developmental challenges. The developmental challenges do not currently interfere with parenting. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Caregiver has developmental challenges that interfere with the capacity to parent the child/youth. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Caregiver has severe developmental challenges that make it impossible to parent the child/youth at this time. ,,,,,"• Does the caregiver have developmental challenges that make parenting/caring for the child/youth difficult?
• Does the caregiver have services?
",,1,1,1,,,1,,
50,50,EC43,Safety,SAFETY,This item describes the caregiver's ability to maintain the child/youth's safety within the household. It does not refer to the safety of other family or household members based on any danger presented by the assessed caregiver.,No current need; no need for action or intervention. This may be a strength of the caregiver. No evidence of safety issues. Household is safe and secure. Child/youth is not at risk from others. ,"Identified need requires monitoring, watchful waiting, or preventive activities. This may be an opportunity for strength building. Household is safe but concerns exist about the safety of the child/youth due to history or others who might be abusive. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Child/youth is in some danger from one or more individuals with access to the home. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Child/youth is in immediate danger from one or more individuals with unsupervised access. ,,,,,"• Is the caregiver able to protect the child/youth from harm in the home? 
• Are there individuals living in the home or visiting the home that may be abusive to the child/youth?
",,1,1,1,,,1,,
51,T01,T01,Sexual Abuse,SEXUAL_ABUSE,This item describes whether or not the child/ youth has experienced sexual abuse. ,,,,,There is no evidence that the child/youth has experienced sexual abuse.,"Child/youth has experienced sexual abuse, or there is a suspicion that they have experienced sexual abuse - including single or multiple episodes, or chronic over an extended period of time. The abuse may have involved penetration, multiple perpetrators, and/or associated physical injury. Child/youth with exposure to secondary sexual abuse (e.g., witnessing sexual abuse, having a sibling sexually abused) should be rated here. ",,,"• Has the caregiver or child/youth disclosed sexual abuse?
• Is there suspicion or evidence that the child/youth has been sexually abused?
",,1,1,1,,1,,,
52,T02,T02,Physical Abuse,PHYSICAL_ABUSE,This item describes whether or not the child/youth has experienced physical abuse.,,,,,There is no evidence that the child/youth has experienced physical abuse.,"Child/youth has experienced or there is a suspicion that they experienced physical abuse - mild to severe, or repeated physical abuse with sufficient physical harm requiring medical treatment. ",,,"• Is physical discipline used in the home? What forms?
• Has the child/youth ever received bruises, marks, or injury from discipline?
",,1,1,1,,1,,,
53,T03,T03,Emotional Abuse,EMOTIONAL_ABUSE,"This item describes whether or not the child/youth has experienced verbal and/or nonverbal emotional abuse, including belittling, shaming, and humiliating a child/youth, calling names, making negative comparisons to others, or telling a child/youth that they are, ""no good"". This item includes both ""emotional abuse"", which would include psychological maltreatment such as insults or humiliation towards a child and ""emotional neglect"", described as the denial of emotional attention and/or support from caregivers. ",,,,,There is no evidence that child/youth has experienced emotional abuse. ,"Child/youth has experienced emotional abuse, or there is a suspicion that they have experienced emotional abuse (mild to severe, for any length of time) including: insults or occasionally being referred to in a derogatory manner by caregivers, being denied emotional attention or completely ignored, or threatened/terrorized by others. ",,,"• How does the caregiver talk to/interact with the child/youth?
• Is there name calling or shaming in the home?
",,1,1,1,,1,,,
54,T04,T04,Neglect,NEGLECT,"This rating describes whether or not the child/youth has experienced neglect. Neglect can refer to a lack of food, shelter or supervision (physical neglect), lack of access to needed medical care (medical neglect), or failure to receive academic instruction (educational neglect).",,,,,There is no evidence that the child/youth has experienced neglect. ,"Child/youth has experienced neglect, or there is a suspicion that they experienced neglect. This includes occasional neglect (e.g., child/youth left home alone for a short period of time when developmentally inappropriate and with no adult supervision, or occasional failure to provide adequate supervision of the child/youth); multiple and/or prolonged absences of adults, with minimal supervision; or failure to provide basic necessities of life (adequate food, shelter, or clothing) on a regular basis.",,,"• Is the child/youth receiving adequate supervision?
• Are the child/youth's basic needs for food and shelter being met?
• Is the child/youth allowed access to necessary medical care? Education?
",,1,1,1,,1,,,
